chlorides;total_sulfur_dioxide;density;pH;sulphates;alcohol
0.076;34.0;0.9978;3.51;0.56;9.4
0.098;67.0;0.9968;3.2;0.68;9.8
0.092;54.0;0.997;3.26;0.65;9.8
0.075;60.0;0.998;3.16;0.58;9.8
0.075;40.0;0.9978;3.51;0.56;9.4
0.069;59.0;0.9964;3.3;0.46;9.4
0.065;21.0;0.9946;3.39;0.47;10.0
0.073;18.0;0.9968;3.36;0.57;9.5
0.071;102.0;0.9978;3.35;0.8;10.5
0.0969999999999999;65.0;0.9959;3.28;0.54;9.2
0.089;59.0;0.9943;3.58;0.52;9.9
0.114;29.0;0.9974;3.26;1.56;9.1
0.176;145.0;0.9986;3.16;0.88;9.2
0.17;148.0;0.9986;3.17;0.93;9.2
0.092;103.0;0.9969;3.3;0.75;10.5
0.368;56.0;0.9968;3.11;1.28;9.3
0.086;29.0;0.9974;3.38;0.5;9.0
0.341;56.0;0.9969;3.04;1.08;9.2
0.077;60.0;0.9968;3.39;0.53;9.4
0.0819999999999999;71.0;0.9982;3.52;0.65;9.7
0.106;37.0;0.9966;3.17;0.91;9.5
0.084;67.0;0.9968;3.17;0.53;9.4
0.085;40.0;0.9968;3.43;0.63;9.7
0.08;23.0;0.9955;3.34;0.56;9.3
0.08;11.0;0.9962;3.28;0.59;9.5
0.08;35.0;0.9972;3.47;0.55;9.4
0.0819999999999999;16.0;0.9964;3.38;0.59;9.8
0.089;82.0;0.9958;3.35;0.54;10.1
0.105;37.0;0.9966;3.46;0.57;10.6
0.083;113.0;0.9966;3.17;0.66;9.8
0.073;83.0;0.9993;3.45;0.52;9.4
0.103;50.0;0.9957;3.38;0.55;9.2
0.086;18.0;0.9986;3.4;0.55;9.6
0.086;15.0;0.9975;3.42;0.6;10.8
0.066;30.0;0.9968;3.23;0.73;9.7
0.172;19.0;0.994;3.5;0.48;9.8
0.074;87.0;0.9978;3.33;0.83;10.5
0.088;46.0;0.9976;3.26;0.51;9.3
0.332;14.0;0.9968;3.21;0.9;10.5
0.069;23.0;0.9968;3.3;1.2;10.3
0.05;11.0;0.9962;3.48;0.52;9.5
0.054;65.0;0.9934;3.9;0.56;13.1
0.114;114.0;0.997;3.25;0.73;9.2
0.113;37.0;0.9969;3.25;0.58;9.5
0.066;12.0;0.9958;3.34;0.56;9.2
0.074;96.0;0.9954;3.32;0.58;9.2
0.074;23.0;0.9971;3.15;0.74;9.2
0.069;15.0;0.9956;3.4;0.63;9.4
0.068;14.0;0.9955;3.39;0.64;9.4
0.081;119.0;0.997;3.2;0.56;9.4
0.11;73.0;0.9955;3.17;0.63;10.2
0.084;45.0;0.9978;3.34;0.53;9.5
0.07;10.0;0.9971;3.04;0.63;9.6
0.111;110.0;0.9983;3.26;0.77;9.4
0.076;54.0;0.9975;3.43;0.59;10.0
0.074;46.0;0.9962;3.41;0.54;9.4
0.079;52.0;0.998;3.44;0.64;9.2
0.115;112.0;0.9968;3.21;0.71;9.3
0.085;35.0;0.9968;3.38;0.62;9.5
0.081;54.0;0.9966;3.39;0.57;9.8
0.086;11.0;0.9962;3.41;0.39;10.9
0.079;39.0;0.9968;3.42;0.58;9.6
0.076;15.0;0.9962;3.44;0.58;10.7
0.074;65.0;0.9969;3.28;0.79;10.7
0.074;19.0;0.9962;3.34;0.95;10.5
0.076;27.0;0.9967;3.32;0.54;9.5
0.088;96.0;0.9962;3.32;0.48;9.5
0.084;94.0;0.9961;3.31;0.48;9.5
0.084;43.0;0.9976;3.31;0.53;9.2
0.094;83.0;0.9984;3.28;0.82;9.6
0.093;42.0;0.9986;3.54;0.66;10.5
0.104;30.0;0.9966;3.52;0.55;10.7
0.086;80.0;0.9958;3.38;0.52;10.1
0.08;119.0;0.9972;3.16;1.12;9.1
0.069;15.0;0.9958;3.41;0.56;9.2
0.4639999999999999;67.0;0.9974;3.13;1.28;9.4
0.086;73.0;0.997;3.36;0.57;9.1
0.401;51.0;0.9969;3.16;1.14;9.4
0.069;61.0;0.9959;3.44;0.78;10.3
0.076;40.0;0.9961;3.41;0.59;10.1
0.11;136.0;0.9972;2.93;1.95;9.9
0.062;31.0;0.9966;3.39;0.64;9.6
0.107;125.0;0.9978;3.14;1.22;9.5
0.076;24.0;0.9978;3.48;0.53;9.0
0.079;140.0;0.9964;3.23;0.54;9.5
0.11;133.0;0.9972;2.93;1.98;9.8
0.045;85.0;0.9938;3.75;0.48;10.5
0.0579999999999999;106.0;0.9932;3.85;0.6;12.9
0.102;23.0;0.9965;3.45;0.56;10.7
0.07;22.0;0.9963;3.25;0.63;9.2
0.079;10.0;0.9967;3.39;0.56;9.8
0.08;35.0;0.9972;3.3;0.59;9.0
0.084;50.0;0.9972;3.4;0.61;10.2
0.075;22.0;0.9959;3.31;0.56;10.4
0.077;65.0;0.9967;3.29;0.51;9.2
0.07;36.0;0.996;3.33;0.48;9.4
0.467;69.0;0.9973;3.08;1.31;9.3
0.088;64.0;0.9969;3.46;0.79;9.3
0.091;80.0;0.9976;3.37;0.8;9.6
0.122;153.0;0.9969;3.21;0.69;9.3
0.104;47.0;0.9964;3.19;0.93;9.5
0.084;108.0;0.9964;3.15;0.66;9.8
0.085;111.0;0.9964;3.15;0.66;9.8
0.08;46.0;0.9988;3.32;0.67;9.7
0.09;62.0;0.9966;3.07;0.63;10.5
0.077;40.0;0.9978;3.39;0.61;10.0
0.0819999999999999;28.0;0.997;3.37;0.5;9.4
0.119;56.0;0.9962;3.21;0.6;10.9
0.0969999999999999;89.0;0.9959;3.34;0.54;9.2
0.178;89.0;0.9962;3.3;0.57;9.0
0.075;13.0;0.998;3.49;0.52;9.2
0.08;34.0;0.9976;3.44;0.53;9.5
0.0819999999999999;102.0;0.996;3.39;0.48;9.5
0.146;90.0;0.9984;3.16;0.7;9.4
0.081;12.0;0.9964;3.53;0.49;10.9
0.0819999999999999;12.0;0.9964;3.54;0.48;10.9
0.065;16.0;0.9962;3.42;0.92;10.5
0.072;19.0;0.9955;3.42;0.57;9.4
0.118;134.0;0.9968;3.24;0.66;9.4
0.049;99.0;0.9937;3.63;0.63;13.0
0.06;26.0;0.9952;3.4;0.58;9.8
0.084;29.0;0.9959;3.22;0.55;9.9
0.09;63.0;0.9965;3.19;0.82;9.6
0.089;52.0;0.9968;3.23;0.77;9.5
0.081;45.0;0.9972;3.48;0.64;9.2
0.081;105.0;0.9962;3.33;0.54;9.5
0.081;108.0;0.9962;3.32;0.54;9.5
0.05;63.0;0.9916;3.68;0.79;14.0
0.066;20.0;0.9954;3.34;0.58;9.4
0.1169999999999999;141.0;0.9968;3.17;0.62;9.4
0.087;94.0;0.9944;3.54;0.52;10.0
0.236;88.0;0.9968;3.11;0.8;9.3
0.074;30.0;0.9959;3.42;0.58;10.2
0.089;43.0;0.9975;3.53;0.61;10.5
0.077;11.0;0.9958;3.33;0.53;10.3
0.61;69.0;0.9996;2.74;2.0;9.4
0.095;99.0;0.995;3.35;0.54;10.1
0.07;129.0;0.9973;3.42;0.72;10.5
0.071;128.0;0.9973;3.42;0.71;10.5
0.073;22.0;0.9969;3.48;0.5;9.3
0.079;86.0;0.9968;3.59;0.57;9.3
0.09;20.0;0.9959;3.2;0.56;9.6
0.072;20.0;0.9965;3.17;1.08;9.2
0.076;31.0;0.9964;3.33;0.56;10.0
0.07;121.0;0.9982;3.37;0.49;9.4
0.07;121.0;0.9981;3.37;0.49;9.4
0.1;96.0;0.9961;3.19;0.62;9.5
0.085;101.0;0.9956;3.34;0.52;10.2
0.072;42.0;0.9956;3.37;0.48;9.0
0.089;44.0;0.9953;3.47;0.55;10.4
0.36;63.0;0.9964;3.0;1.59;9.5
0.0579999999999999;8.0;0.9972;3.36;0.33;9.1
0.073;18.0;0.9972;3.29;0.61;9.2
0.068;42.0;0.9961;3.42;0.57;11.5
0.08;35.0;0.9961;3.33;0.47;9.5
0.085;49.0;0.9958;3.35;0.78;9.5
0.087;38.0;0.9972;3.58;0.61;10.5
0.068;20.0;0.9969;3.48;0.56;9.6
0.067;42.0;0.9969;3.19;0.59;9.5
0.27;110.0;0.9972;3.12;1.02;9.3
0.076;42.0;0.9972;3.44;0.52;9.3
0.077;65.0;0.9971;3.54;0.58;9.3
0.079;62.0;0.997;3.52;0.58;9.3
0.111;85.0;0.9971;3.26;0.53;9.7
0.0819999999999999;67.0;0.9972;3.34;0.55;9.2
0.084;26.0;0.9976;3.39;0.49;9.7
0.084;143.0;0.9968;3.2;0.55;9.5
0.0819999999999999;144.0;0.9968;3.2;0.55;9.5
0.077;127.0;0.9976;3.23;0.62;9.4
0.074;49.0;0.9974;3.57;0.62;9.8
0.099;126.0;0.9969;3.28;0.61;9.5
0.071;28.0;0.9964;3.28;0.55;9.7
0.074;120.0;0.9968;3.25;0.54;9.4
0.074;55.0;0.9968;3.46;0.59;10.2
0.067;27.0;0.9981;3.11;0.97;10.1
0.046;93.0;0.9924;3.57;0.85;13.0
0.061;31.0;0.9948;3.51;0.43;11.4
0.0559999999999999;24.0;0.99695;3.22;0.82;10.3
0.0969999999999999;145.0;0.9975;3.04;1.03;9.3
0.075;49.0;0.99545;3.36;0.79;9.5
0.088;39.0;0.9961;3.34;0.55;9.2
0.089;37.0;0.99615;3.34;0.56;9.2
0.095;28.0;0.9994;3.2;0.77;10.8
0.069;120.0;0.99625;3.29;0.53;9.3
0.1;95.0;0.9966;3.22;0.67;9.4
0.054;19.0;0.998;3.31;0.88;10.5
0.039;19.0;0.99585;3.3;0.86;12.4
0.083;62.0;0.99685;3.35;0.56;10.0
0.059;15.0;0.998;3.21;0.67;10.2
0.06;65.0;0.9959;3.3;0.43;10.1
0.092;41.0;0.9974;3.24;0.71;9.8
0.06;121.0;0.9974;3.34;0.76;10.5
0.1009999999999999;49.0;0.9962;3.14;0.57;11.0
0.072;41.0;0.9967;3.36;0.55;9.1
0.076;44.0;0.9957;3.39;0.54;9.7
0.08;144.0;0.99655;3.3;0.6;9.5
0.0819999999999999;58.0;0.9964;3.34;0.59;9.4
0.1009999999999999;72.0;0.9957;3.15;0.57;9.4
0.057;10.0;0.99525;3.42;0.6;9.5
0.083;28.0;0.99815;3.28;0.6;10.0
0.089;55.0;0.99745;3.31;0.57;10.4
0.073;63.0;0.99615;3.37;0.58;10.5
0.337;81.0;0.9964;3.04;1.61;9.5
0.089;23.0;0.9984;3.39;0.63;9.8
0.081;37.0;0.99685;3.46;0.5;11.0
0.054;106.0;0.9927;3.54;0.62;12.2
0.078;49.0;0.99625;3.37;0.52;9.9
0.09;58.0;0.998;3.34;0.7;9.6
0.065;37.0;0.99685;3.32;0.55;9.0
0.0969999999999999;38.0;0.99675;3.37;0.58;9.0
0.0969999999999999;39.0;0.99675;3.37;0.58;9.2
0.263;62.0;0.9971;3.0;1.09;9.3
0.093;24.0;0.99925;3.14;0.71;10.9
0.102;109.0;0.99565;3.08;0.49;9.8
0.075;24.0;1.00005;3.07;0.84;9.2
0.084;23.0;0.9983;3.61;0.96;9.9
0.075;51.0;0.99685;3.38;0.52;9.5
0.072;73.0;0.9963;3.2;0.45;9.3
0.074;39.0;0.99615;3.35;0.48;9.8
0.063;37.0;0.9985;3.22;0.78;10.0
0.074;34.0;0.9972;3.47;0.7;9.9
0.09;21.0;0.9986;3.17;0.53;10.5
0.092;86.0;0.9959;3.23;0.59;9.5
0.073;119.0;0.99675;3.26;0.57;9.3
0.075;13.0;0.998;3.22;0.62;9.2
0.075;56.0;0.9968;3.49;0.67;9.2
0.611;45.0;0.9968;3.06;1.26;9.4
0.085;33.0;0.99965;3.36;0.8;10.5
0.077;45.0;0.99625;3.29;0.65;9.3
0.087;67.0;0.99565;3.35;0.6;9.4
0.07;35.0;0.99575;3.34;0.57;10.0
0.077;49.0;0.9963;3.28;0.67;9.3
0.064;27.0;0.9999;3.08;0.87;10.9
0.071;10.0;0.9968;3.2;0.72;10.2
0.096;61.0;1.00025;3.6;0.72;9.8
0.078;37.0;0.9973;3.35;0.86;12.8
0.077;27.0;0.9987;3.69;0.91;9.4
0.104;23.0;0.9996;3.28;0.97;10.1
0.087;61.0;0.9965;3.36;0.67;10.7
0.071;65.0;0.99935;3.22;0.78;10.1
0.076;38.0;0.99735;3.31;0.64;9.4
0.088;94.0;0.99915;3.38;0.77;9.4
0.073;13.0;0.9976;3.23;0.82;12.6
0.087;47.0;0.9991;3.38;0.77;10.5
0.071;19.0;0.9986;3.12;0.82;9.3
0.358;10.0;0.9972;3.25;1.08;9.9
0.067;53.0;0.9971;3.36;0.57;9.1
0.102;71.0;1.00015;3.31;0.71;9.8
0.073;49.0;0.9997;3.1;0.76;10.3
0.092;53.0;0.9967;3.37;0.7;10.3
0.091;49.0;0.9976;3.34;0.86;10.6
0.105;98.0;1.001;3.2;0.95;9.2
0.3429999999999999;18.0;0.9979;3.3;0.71;10.5
0.091;48.0;0.9994;3.22;0.64;10.3
0.098;16.0;0.9964;3.41;0.6;10.1
0.094;53.0;1.0014;3.05;0.81;9.5
0.073;27.0;1.0001;3.05;0.64;9.5
0.086;70.0;0.9981;3.16;0.52;9.9
0.083;29.0;0.99855;3.67;0.73;9.6
0.094;31.0;0.9993;3.67;0.8;9.7
0.08;33.0;0.99845;3.68;0.71;9.6
0.086;44.0;0.9965;3.38;0.59;10.7
0.068;15.0;0.9973;3.22;0.64;10.1
0.092;28.0;0.9994;3.51;0.72;10.0
0.186;21.0;0.996;3.39;0.54;9.5
0.1119999999999999;90.0;0.9973;3.2;0.52;9.2
0.063;25.0;0.9998;3.12;0.59;9.3
0.0819999999999999;54.0;0.9966;3.36;0.52;9.4
0.213;14.0;0.9994;3.19;0.62;9.5
0.214;12.0;0.9994;3.19;0.63;9.5
0.062;30.0;0.9968;3.41;0.53;9.5
0.072;105.0;0.996;3.27;0.54;9.4
0.093;98.0;0.99815;3.32;0.63;9.5
0.076;135.0;0.9976;3.3;0.53;9.4
0.087;72.0;0.99645;3.39;0.68;11.0
0.096;53.0;0.9962;3.42;0.65;11.0
0.102;92.0;0.9996;3.3;0.65;10.1
0.0819999999999999;74.0;0.99865;3.3;0.64;10.4
0.083;59.0;0.9989;3.37;0.71;11.5
0.09;87.0;0.99975;3.24;0.62;9.7
0.079;18.0;0.99735;3.29;0.63;9.3
0.09;73.0;0.999;3.28;0.7;9.5
0.071;50.0;1.0015;3.16;0.69;9.2
0.121;14.0;0.9978;3.05;0.74;11.5
0.107;13.0;0.998;3.28;0.83;11.5
0.0819999999999999;21.0;1.0002;3.16;0.67;9.7
0.061;15.0;0.9981;3.18;0.62;9.5
0.122;41.0;0.998;3.23;0.66;12.5
0.066;114.0;0.9973;3.22;0.54;9.4
0.105;44.0;0.9958;3.13;0.52;11.0
0.078;38.0;0.9963;3.34;0.74;11.7
0.128;21.0;0.9992;3.17;0.84;12.2
0.052;16.0;0.9948;3.35;0.7;12.5
0.08;58.0;0.9974;3.31;0.64;10.3
0.103;99.0;1.0008;3.16;1.0;11.5
0.0819999999999999;29.0;0.9997;3.11;1.36;9.8
0.066;21.0;1.0;3.12;1.18;9.2
0.065;18.0;0.9972;3.21;0.87;11.3
0.118;14.0;0.9982;3.3;0.75;9.8
0.0819999999999999;32.0;1.0006;3.12;0.78;10.7
0.067;63.0;0.9979;3.6;0.81;9.9
0.072;34.0;0.9955;3.58;0.89;12.3
0.093;15.0;0.9986;3.02;0.93;12.0
0.089;46.0;0.9979;3.11;0.92;10.0
0.093;28.0;0.9994;3.36;0.86;9.4
0.107;34.0;1.0004;3.28;0.98;9.9
0.096;26.0;0.9994;3.35;0.83;9.4
0.09;19.0;0.9974;3.27;0.73;9.3
0.12;77.0;1.0018;3.18;0.77;13.0
0.066;165.0;0.9912;3.25;0.59;11.9
0.078;32.0;0.9955;3.55;0.61;12.8
0.08;55.0;1.0001;3.26;0.88;11.0
0.1159999999999999;29.0;0.997;3.24;0.75;11.7
0.109;23.0;1.0;3.15;0.85;10.4
0.088;41.0;1.001;3.17;0.68;9.8
0.099;81.0;0.9973;3.19;0.7;9.4
0.086;50.0;0.9982;3.37;0.91;9.9
0.072;37.0;0.9992;3.05;0.56;10.0
0.071;15.0;0.9988;2.99;0.87;10.2
0.083;42.0;1.0022;3.07;0.73;10.0
0.107;21.0;0.9979;3.26;0.93;11.8
0.076;24.0;1.0;3.16;0.69;9.0
0.159;75.0;0.9998;3.18;0.64;9.4
0.074;18.0;0.9962;3.2;1.13;12.0
0.063;63.0;0.9975;3.57;0.78;9.9
0.0559999999999999;25.0;0.9967;3.32;0.87;8.7
0.067;46.0;0.9967;3.32;1.04;10.6
0.106;72.0;0.9959;3.05;0.63;9.2
0.089;47.0;1.0014;3.01;0.81;10.8
0.124;15.0;0.9984;3.01;0.83;11.8
0.078;47.0;1.0003;3.26;1.11;11.0
0.088;24.0;0.9988;3.11;0.99;13.3
0.094;60.0;0.9979;3.31;0.7;10.8
0.08;27.0;0.9974;3.21;0.8;9.4
0.085;43.0;1.0014;3.06;0.8;10.0
0.087;54.0;0.998;3.42;0.74;9.2
0.09;37.0;0.9979;3.43;0.76;9.7
0.088;48.0;0.9981;3.41;0.74;9.2
0.079;42.0;0.9972;3.31;0.54;9.6
0.088;53.0;0.9981;3.43;0.74;9.2
0.096;49.0;0.9982;3.19;0.7;10.0
0.045;88.0;0.9924;3.56;0.82;12.9
0.0819999999999999;26.0;0.998;3.18;0.51;9.5
0.1119999999999999;95.0;0.997;3.16;0.54;9.1
0.063;25.0;0.9997;3.03;0.57;9.9
0.066;38.0;1.0004;3.22;0.6;13.0
0.122;124.0;0.9994;3.47;0.53;9.9
0.087;49.0;0.9988;3.18;0.65;11.0
0.064;42.0;0.9963;3.1;0.55;9.4
0.059;38.0;0.9949;3.29;0.47;10.8
0.085;64.0;1.0;3.1;0.61;10.5
0.085;41.0;0.9994;3.15;0.63;10.5
0.075;27.0;0.9974;3.26;0.61;9.1
0.059;25.0;0.9966;3.36;0.76;10.1
0.063;28.0;0.9981;3.24;0.65;10.8
0.093;30.0;0.9996;3.18;0.63;10.8
0.174;16.0;0.997;3.19;0.7;11.3
0.07;49.0;0.9981;3.05;0.57;9.6
0.08;86.0;0.9987;3.38;0.62;9.5
0.08;78.0;0.9987;3.38;0.62;9.5
0.1;77.0;0.9966;3.27;0.64;9.3
0.0969999999999999;19.0;0.9986;3.27;0.82;11.7
0.087;122.0;0.9982;3.26;0.61;9.5
0.1169999999999999;134.0;1.0014;3.32;1.07;9.3
0.111;20.0;0.997;3.26;0.66;11.7
0.091;124.0;0.9956;3.44;0.48;10.5
0.121;20.0;0.9996;3.24;0.76;10.4
0.066;52.0;0.9976;3.62;0.68;9.9
0.089;67.0;0.9972;3.28;0.73;11.8
0.059;48.0;0.9952;3.52;0.56;12.3
0.047;60.0;0.9955;3.36;0.44;10.9
0.066;24.0;0.9978;3.15;0.9;11.0
0.045;48.0;0.9949;3.49;0.49;11.4
0.077;32.0;0.9988;3.26;0.56;10.6
0.07;30.0;0.9978;3.24;0.6;9.3
0.088;35.0;0.9997;3.1;0.6;10.4
0.074;66.0;0.9974;3.25;0.56;9.2
0.078;24.0;0.9958;3.0;0.65;12.8
0.091;18.0;1.0004;3.16;0.49;9.5
0.076;54.0;0.9996;3.15;0.89;9.9
0.06;62.0;0.9958;3.26;0.56;10.2
0.066;22.0;0.9986;3.17;0.66;11.2
0.062;50.0;0.9951;3.08;0.6;9.3
0.072;29.0;0.9987;2.88;0.82;9.8
0.068;27.0;0.9988;3.06;0.68;11.3
0.1;43.0;1.0032;2.95;0.68;11.2
0.077;19.0;0.9963;3.23;0.63;11.6
0.054;27.0;0.9934;3.57;0.84;12.5
0.079;31.0;0.9986;3.23;0.56;10.1
0.081;72.0;0.9996;3.1;0.73;10.5
0.127;16.0;0.9968;3.22;0.72;11.2
0.1;27.0;0.9967;3.2;0.56;10.2
0.095;35.0;0.9994;3.1;0.61;10.8
0.413;26.0;0.9979;3.06;1.06;9.1
0.084;35.0;0.9968;3.44;0.63;10.0
0.084;22.0;0.9998;3.26;0.74;11.2
0.063;67.0;0.9952;3.5;0.63;11.1
0.086;19.0;0.9988;3.22;0.69;13.4
0.095;22.0;0.9986;3.37;0.58;10.3
0.0969999999999999;65.0;0.9988;3.28;0.58;9.6
0.074;47.0;1.0008;3.25;0.57;9.0
0.083;23.0;0.9976;3.35;0.61;11.3
0.087;19.0;0.9982;3.26;0.61;9.3
0.085;25.0;0.997;3.18;0.61;11.8
0.098;129.0;0.9972;3.08;0.53;9.0
0.084;15.0;0.9987;2.98;0.7;9.2
0.098;26.0;1.0006;3.48;0.91;9.7
0.069;51.0;0.9982;3.16;0.72;11.5
0.065;18.0;0.9947;3.32;0.79;14.0
0.09;21.0;1.0;3.17;0.62;9.2
0.07;48.0;0.9952;3.2;0.58;9.8
0.093;47.0;0.9996;3.05;0.61;10.6
0.081;52.0;0.997;3.2;0.71;11.4
0.083;68.0;0.9995;3.15;0.82;10.4
0.062;14.0;0.9971;3.26;0.79;10.6
0.08;24.0;0.9982;3.2;0.89;9.4
0.087;28.0;0.9988;3.14;0.6;10.2
0.091;16.0;0.998;3.28;0.7;9.7
0.075;20.0;0.9977;3.18;1.06;11.0
0.077;31.0;0.9984;3.19;0.7;10.1
0.069;23.0;1.0026;3.12;0.66;9.2
0.08;17.0;0.9964;3.15;0.92;11.7
0.152;18.0;0.9986;3.04;1.05;9.4
0.152;18.0;0.9986;3.04;1.06;9.4
0.114;24.0;0.997;3.06;0.66;13.4
0.054;17.0;0.9976;3.17;0.47;10.0
0.053;14.0;0.9982;3.17;0.42;10.0
0.081;67.0;1.0002;3.32;0.92;10.8
0.073;26.0;0.9984;3.34;0.75;10.2
0.078;56.0;0.9984;3.31;0.67;10.6
0.055;25.0;0.9952;3.34;0.79;13.3
0.052;27.0;0.995;3.32;0.9;13.4
0.086;81.0;1.0002;3.48;0.74;11.6
0.051;91.0;0.9952;3.44;0.55;12.1
0.07;16.0;0.9972;3.15;0.65;11.0
0.081;38.0;0.9984;3.43;0.65;9.0
0.09;113.0;0.9966;3.32;0.79;11.1
0.074;76.0;0.999;3.17;0.85;12.0
0.078;24.0;0.9976;3.18;1.04;10.9
0.077;22.0;0.9976;3.21;1.05;10.8
0.072;26.0;0.9968;3.16;0.78;12.5
0.075;21.0;0.9976;3.25;1.02;10.8
0.084;13.0;1.0;3.17;0.71;9.5
0.09;62.0;0.9994;3.18;0.63;10.2
0.084;43.0;0.9986;3.04;0.68;11.4
0.073;43.0;0.9978;3.02;0.61;9.5
0.125;49.0;0.998;3.03;0.81;9.7
0.107;15.0;0.9973;3.09;0.66;11.8
0.122;151.0;1.001;3.31;1.14;9.3
0.1;14.0;1.001;3.25;0.74;11.9
0.2;16.0;0.9994;3.16;0.63;8.4
0.088;32.0;0.9972;3.22;0.68;11.7
0.088;106.0;0.9966;3.36;0.78;11.0
0.088;33.0;0.9982;3.42;0.9;10.0
0.088;43.0;0.998;3.48;0.64;9.1
0.099;133.0;0.9979;3.38;0.99;9.8
0.085;142.0;0.9978;3.22;0.55;9.4
0.086;116.0;0.9976;3.23;0.64;9.5
